Product name;Old price, PLN;New price, PLNDiscount, %
Lampa solux lecznicza VITAMMY FLARE 5 mocna 150W;159.0;97.75;38.0
Olejek Konopny ACBD+ 15% 11ml CERTYFIKATY Promocja;149.0;96.99;34.0
JustSexY komplet Koronkowa seksowna Bielizna;89.99;69.99;22.0
JustSexY markowy komplet świąteczny Mikołajka;149.99;129.99;13.0
NAWILŻACZ POWIETRZA DYFUZOR ZAPACHOWY AROMATERAPIA;159.0;59.0;62.0
JustSexY - markowa erotyczne BODYSTOCKING body;29.99;19.99;33.0
JustSexY komplet Koronkowa seksowna Bielizna;89.99;69.99;22.0
Inhalator nebulizator MEDEL Family Plus +GRATIS;179.0;129.5;27.0
TERMOMETR BEZDOTYKOWY na podczerwień Vitammy SPOT;329.0;129.0;60.0
OLEJEK KONOPNY CBD 10% | 1000 mg | PEŁNE SPEKTRUM;277.0;96.7;65.0
Sylimaryna 100mg 60 tabl. powl. produkt dla wegan;12.95;11.5;11.0
Rękawice winylowo - nitrylowe bezpudrowe M 100szt;65.0;49.5;23.0
Maseczka chirurgiczna Niebieska typ II, 50 szt;69.0;49.0;28.0
ZESTAW 10 DOSKONAŁYCH OLEJKÓW ETERYCZNYCH 100%;74.99;69.99;6.0
ORAL-B PASTA DO ZĘBÓW + ŻEL OCHRONA DZIĄSEŁ;120.0;9.99;91.0
KOREKTOR WAD POSTAWY KRĘGOSŁUPA DUŻY ORTOPEDYCZNY;108.0;40.0;62.0
Płyn do dezynfekcji 20L, BOMASEPT G, zapach ALOES;180.0;129.0;28.0
14G susz konopny CHERRY WINE 15% CBD 4EASE;200.0;99.0;50.0
Olejek eteryczny Lawenda 12 ML;8.99;6.99;22.0
BEZDOTYKOWA STACJA DO DEZYNFEKCJI RĄK.AUTOMATYCZNA;700.0;369.0;47.0
PULSOMETR MEDYCZNY NAPALCOWY PULSOKSYMETR TLEN;199.0;17.49;91.0
Spray do dezynfekcji powierzchni MEDISEPT Papaya;28.99;23.19;20.0
NOVAMA PULMOXI Certyfikowany pulsoksymetr medyczny;149.0;116.25;21.0
Susz CBD Sour Widow 5g Marihuana konopie weed;60.0;40.0;33.0
100 szt. MASKI MASECZKI MEDYCZNE ATEST 98%;50.0;44.0;12.0
Olejek Konopny ACBD+ 15% 11ml CERTYFIKATY Promocja;149.0;96.99;34.0
OLEJEK KONOPNY CBD 10% | 1000 mg | PEŁNE SPEKTRUM;277.0;96.7;65.0
TERMOMETR BEZDOTYKOWY NA PODCZERWIEŃ LEKARSKI;199.0;69.0;65.0
Maseczka chirurgiczna Niebieska typ II, 50 szt;69.0;49.0;28.0
Maska maseczka ochronna chirurgiczna 3 warstwowa;8.9;4.2;52.0
Rękawice winylowo - nitrylowe bezpudrowe M 100szt;65.0;49.5;23.0
WKŁADY DO SZCZOTECZKI BRAUN ORAL-B DLA DZIECI;26.0;9.99;61.0
Olejek eteryczny Eukaliptus 12 ML;7.69;6.99;9.0
SFD SPIRULINA 90 tab ODPORNOŚĆ ANEMIA DETOKS;19.99;14.99;25.0
Płyn do dezynfekcji 20L, BOMASEPT G, zapach ALOES;180.0;129.0;28.0
Pulsoksymetr medyczny napalcowy NOVAMA PULMOXI;149.0;116.25;21.0
Naturalny Olejek eteryczny TRAWA CYTRYNOWA 12 ML;8.39;6.99;16.0
